,balance,冗長ラベル（日本語）,冗長ラベル（英語）,標準ラベル（英語）,標準ラベル（日本語）,color
買入手形利息_down,credit ,買入手形利息、経常収益、銀行業 ,Interest on bills bought-OI-BNK ,Interest on bills bought ,買入手形利息 ,cyan
買入指名金銭債権_down,debit ,買入指名金銭債権、投資その他の資産、特定資産、資産流動化業 ,Nominative monetary claims bought-IOA-specific assets-LIQ ,Nominative monetary claims bought ,買入指名金銭債権 ,cyan
買入金銭債権_down,debit ,買入金銭債権、資産の部、銀行業 ,Monetary claims bought-assets-BNK ,Monetary claims bought ,買入金銭債権 ,cyan
買取債権_down,debit ,買取債権、流動資産 ,Purchased receivables-CA ,Purchased receivables ,買取債権 ,cyan
買取債権回収高_down,credit ,買取債権回収高、営業活動による収益 ,Proceeds from purchased receivables - RevOA ,Proceeds from purchased receivables ,買取債権回収高 ,cyan
買建通貨オプション_down,debit ,買建通貨オプション、流動資産 ,Purchased currency options-CA ,Purchased currency options ,買建通貨オプション ,cyan
買掛金_down,credit ,買掛金 ,Accounts payable-trade ,Accounts payable - trade ,買掛金 ,cyan
買換資産圧縮積立金_down,credit ,買換資産圧縮積立金 ,Reserve for tax purpose reduction entry of replacement assets ,Reserve for tax purpose reduction entry of replacement assets ,買換資産圧縮積立金 ,cyan
買換資産積立金_down,credit ,買換資産積立金 ,Reserve for property replacement ,Reserve for property replacement ,買換資産積立金 ,cyan
買現先利息_down,credit ,買現先利息、経常収益、銀行業 ,Interest on receivables under resale agreements-OI-BNK ,Interest on receivables under resale agreements ,買現先利息 ,cyan
買現先勘定_down,debit ,買現先勘定、資産の部、銀行業 ,Receivables under resale agreements-assets-BNK ,Receivables under resale agreements ,買現先勘定 ,cyan
貸与資産_down,debit ,貸与資産 ,Assets for rent ,Assets for rent ,貸与資産 ,cyan
貸与資産減価償却費_down,debit ,貸与資産減価償却費、営業外費用 ,Depreciation of assets for rent-NOE ,Depreciation of assets for rent ,貸与資産減価償却費 ,cyan
貸与資産（純額）_down,debit ,貸与資産（純額） ,"Assets for rent, net ","Assets for rent, net ",貸与資産（純額） ,cyan
貸付有価証券_down,debit ,貸付有価証券、流動資産 ,Securities lent-CA ,Securities lent ,貸付有価証券 ,cyan
貸付有価証券代り金_down,credit ,貸付有価証券代り金、流動負債 ,Collateral money received for securities lent-CL ,Collateral money received for securities lent ,貸付有価証券代り金 ,cyan
貸付有価証券代り金利息_down,debit ,貸付有価証券代り金利息、営業活動による費用・売上原価 ,Interest on collateral money received for securities lent-COSExpOA ,Interest on collateral money received for securities lent ,貸付有価証券代り金利息 ,cyan
貸付設備_down,debit ,貸付設備、電気事業固定資産、電気事業 ,Facilities loaned-NCA-electric-ELE ,Facilities loaned ,貸付設備 ,cyan
貸付設備収益_down,credit ,貸付設備収益、電気事業営業収益、電気事業 ,Revenue from loaned facilities-OR-electric-ELE ,Revenue from loaned facilities ,貸付設備収益 ,cyan
貸付設備費_down,debit ,貸付設備費、電気事業営業費用、電気事業 ,Cost of loaned facilities-OE-electric-ELE ,Cost of loaned facilities ,貸付設備費 ,cyan
貸付金_down,debit ,貸付金、資産の部、保険業 ,Loans receivable-assets-INS ,Loans receivable ,貸付金 ,cyan
貸付金償却_down,debit ,貸付金償却、経常費用、保険業 ,Loss on disposal of bad loans-OE-INS ,Loss on disposal of bad loans ,貸付金償却 ,cyan
貸付金利息_down,credit ,貸付金利息、営業外収益 ,Interest on loans-NOI ,Interest on loans ,貸付金利息 ,cyan
貸倒償却_down,debit ,貸倒償却、営業外費用、投資運用業 ,Bad debts written off-NOE-IVT ,Bad debts written off ,貸倒償却 ,cyan
貸倒引当金、その他事業未収金、海運業_down,debit ,貸倒引当金、その他事業未収金、海運業 ,Allowance for doubtful accounts-accounts receivable-other business-WAT ,Allowance for doubtful accounts-accounts receivable-other business-WAT ,貸倒引当金、その他事業未収金、海運業 ,cyan
貸倒引当金、リース債権、流動資産_down,debit ,貸倒引当金、リース債権、流動資産 ,Allowance for doubtful accounts-lease receivables-CA ,Allowance for doubtful accounts-lease receivables-CA ,貸倒引当金、リース債権、流動資産 ,cyan
貸倒引当金、リース債権及びリース投資資産、流動資産_down,debit ,貸倒引当金、リース債権及びリース投資資産、流動資産 ,Allowance for doubtful accounts - lease receivables and investments in leases - CA ,Allowance for doubtful accounts - lease receivables and investments in leases - CA ,貸倒引当金、リース債権及びリース投資資産、流動資産 ,cyan
貸倒引当金、リース投資資産、流動資産_down,debit ,貸倒引当金、リース投資資産、流動資産 ,Allowance for doubtful accounts - investments in leases - CA ,Allowance for doubtful accounts - investments in leases - CA ,貸倒引当金、リース投資資産、流動資産 ,cyan
貸倒引当金、事業未収入金、資産流動化業_down,debit ,貸倒引当金、事業未収入金、資産流動化業 ,Allowance for doubtful accounts-operating accounts receivable-LIQ ,Allowance for doubtful accounts-operating accounts receivable-LIQ ,貸倒引当金、事業未収入金、資産流動化業 ,cyan
貸倒引当金、事業未収金、社会医療法人_down,debit ,貸倒引当金、事業未収金、社会医療法人 ,Allowance for doubtful accounts-operating accounts receivable-MED ,Allowance for doubtful accounts-operating accounts receivable-MED ,貸倒引当金、事業未収金、社会医療法人 ,cyan
貸倒引当金、受取手形_down,debit ,貸倒引当金、受取手形 ,Allowance for doubtful accounts-notes receivable-trade ,Allowance for doubtful accounts-notes receivable-trade ,貸倒引当金、受取手形 ,cyan
貸倒引当金、受取手形及び売掛金_down,debit ,貸倒引当金、受取手形及び売掛金 ,Allowance for doubtful accounts-notes and accounts receivable-trade ,Allowance for doubtful accounts-notes and accounts receivable-trade ,貸倒引当金、受取手形及び売掛金 ,cyan
貸倒引当金、営業未収入金、投資業_down,debit ,貸倒引当金、営業未収入金、投資業 ,Allowance for doubtful accounts-operating accounts receivable-CA-INV ,Allowance for doubtful accounts-operating accounts receivable-CA-INV ,貸倒引当金、営業未収入金、投資業 ,cyan
貸倒引当金、営業貸付金、特定金融業_down,debit ,貸倒引当金、営業貸付金、特定金融業 ,Allowance for accounts receivable-operating loans-SPF ,Allowance for accounts receivable-operating loans-SPF ,貸倒引当金、営業貸付金、特定金融業 ,cyan
貸倒引当金、売掛金_down,debit ,貸倒引当金、売掛金 ,Allowance for doubtful accounts-accounts receivable-trade ,Allowance for doubtful accounts-accounts receivable-trade ,貸倒引当金、売掛金 ,cyan
貸倒引当金、役員等短期債権、学校法人_down,debit ,貸倒引当金、役員等短期債権、学校法人 ,Allowance for doubtful accounts-short-term receivables from directors and other-EDU ,Allowance for doubtful accounts-short-term receivables from directors and other-EDU ,貸倒引当金、役員等短期債権、学校法人 ,cyan
貸倒引当金、役員等長期貸付金、学校法人_down,debit ,貸倒引当金、役員等長期貸付金、学校法人 ,Allowance for doubtful accounts-long-term loans receivable from directors and other-EDU ,Allowance for doubtful accounts-long-term loans receivable from directors and other-EDU ,貸倒引当金、役員等長期貸付金、学校法人 ,cyan
貸倒引当金、役職員等長期貸付金、社会医療法人_down,debit ,貸倒引当金、役職員等長期貸付金、社会医療法人 ,"Allowance for doubtful accounts-long-term loans receivable from directors, employees and other-MED ","Allowance for doubtful accounts-long-term loans receivable from directors, employees and other-MED ",貸倒引当金、役職員等長期貸付金、社会医療法人 ,cyan
貸倒引当金、従業員に対する長期貸付金_down,debit ,貸倒引当金、従業員に対する長期貸付金 ,Allowance for doubtful accounts-long-term loans receivable from employees ,Allowance for doubtful accounts-long-term loans receivable from employees ,貸倒引当金、従業員に対する長期貸付金 ,cyan
貸倒引当金、投資その他の資産、一括控除_down,debit ,貸倒引当金、投資その他の資産、一括控除 ,Allowance for doubtful accounts-IOA-by group ,Allowance for doubtful accounts-IOA-by group ,貸倒引当金、投資その他の資産、一括控除 ,cyan
貸倒引当金、未収入金、学校法人_down,debit ,貸倒引当金、未収入金、学校法人 ,Allowance for doubtful accounts-accounts receivable-EDU ,Allowance for doubtful accounts-accounts receivable-EDU ,貸倒引当金、未収入金、学校法人 ,cyan
貸倒引当金、株主、役員又は従業員に対する短期債権_down,debit ,貸倒引当金、株主、役員又は従業員に対する短期債権 ,"Allowance for doubtful accounts, Short-term claims on shareholders, directors (and other officers) or employees ","Allowance for doubtful accounts, Short-term claims on shareholders, directors (and other officers) or employees ",貸倒引当金、株主、役員又は従業員に対する短期債権 ,cyan
貸倒引当金、株主、役員又は従業員に対する長期貸付金_down,debit ,貸倒引当金、株主、役員又は従業員に対する長期貸付金 ,"Allowance for doubtful accounts, Long-term loans receivable from shareholders, directors (and other officers) or employees ","Allowance for doubtful accounts, Long-term loans receivable from shareholders, directors (and other officers) or employees ",貸倒引当金、株主、役員又は従業員に対する長期貸付金 ,cyan
貸倒引当金、流動資産、一括控除_down,debit ,貸倒引当金、流動資産、一括控除 ,Allowance for doubtful accounts-CA-by group ,Allowance for doubtful accounts-CA-by group ,貸倒引当金、流動資産、一括控除 ,cyan
貸倒引当金、海運業未収金、海運業_down,debit ,貸倒引当金、海運業未収金、海運業 ,Allowance for doubtful accounts-accounts receivable-shipping-WAT ,Allowance for doubtful accounts-accounts receivable-shipping-WAT ,貸倒引当金、海運業未収金、海運業 ,cyan
貸倒引当金、短期貸付金_down,debit ,貸倒引当金、短期貸付金 ,Allowance for doubtful accounts-short-term loans ,Allowance for doubtful accounts-short-term loans ,貸倒引当金、短期貸付金 ,cyan
貸倒引当金、破産更生債権等_down,debit ,貸倒引当金、破産更生債権等 ,"Allowance for doubtful accounts-claims provable in bankruptcy, claims provable in rehabilitation and other ","Allowance for doubtful accounts-claims provable in bankruptcy, claims provable in rehabilitation and other ",貸倒引当金、破産更生債権等 ,cyan
貸倒引当金、資産の部、保険業_down,debit ,貸倒引当金、資産の部、保険業 ,Allowance for doubtful accounts-assets-INS ,Allowance for doubtful accounts-assets-INS ,貸倒引当金、資産の部、保険業 ,cyan
貸倒引当金、資産の部、銀行業_down,debit ,貸倒引当金、資産の部、銀行業 ,Allowance for loan losses-assets-BNK ,Allowance for loan losses-assets-BNK ,貸倒引当金、資産の部、銀行業 ,cyan
貸倒引当金、長期貸付金_down,debit ,貸倒引当金、長期貸付金 ,Allowance for doubtful accounts-long-term loans receivable ,Allowance for doubtful accounts-long-term loans receivable ,貸倒引当金、長期貸付金 ,cyan
貸倒引当金、関係会社短期貸付金_down,debit ,貸倒引当金、関係会社短期貸付金 ,Allowance for doubtful accounts-short-term loans receivable from subsidiaries and affiliates ,Allowance for doubtful accounts-short-term loans receivable from subsidiaries and affiliates ,貸倒引当金、関係会社短期貸付金 ,cyan
貸倒引当金、関係会社長期貸付金_down,debit ,貸倒引当金、関係会社長期貸付金 ,Allowance for doubtful accounts-long-term loans receivable from subsidiaries and affiliates ,Allowance for doubtful accounts-long-term loans receivable from subsidiaries and affiliates ,貸倒引当金、関係会社長期貸付金 ,cyan
貸倒引当金戻入益_down,credit ,貸倒引当金戻入益、経常収益、銀行業 ,Reversal of allowance for loan losses-OI-BNK ,Reversal of allowance for loan losses ,貸倒引当金戻入益 ,cyan
貸倒引当金戻入額_down,credit ,貸倒引当金戻入額、特別利益 ,Reversal of allowance for doubtful accounts-EI ,Reversal of allowance for doubtful accounts ,貸倒引当金戻入額 ,cyan
貸倒引当金繰入額_down,debit ,貸倒引当金繰入額、特別損失 ,Provision of allowance for doubtful accounts-EL ,Provision of allowance for doubtful accounts ,貸倒引当金繰入額 ,cyan
貸倒損失_down,debit ,貸倒損失、営業外費用 ,Bad debts expenses-NOE ,Bad debts expenses ,貸倒損失 ,cyan
貸借取引担保金_down,credit ,貸借取引担保金、流動負債 ,Collateral money received for loan transactions-CL ,Collateral money received for loan transactions ,貸借取引担保金 ,cyan
貸借取引貸付金_down,debit ,貸借取引貸付金、流動資産 ,Loans on margin transaction-CA ,Loans on margin transaction ,貸借取引貸付金 ,cyan
貸借取引貸付金利息_down,credit ,貸借取引貸付金利息、営業活動による収益 ,Interest on loans on margin transaction-RevOA ,Interest on loans on margin transaction ,貸借取引貸付金利息 ,cyan
貸借対照表_down,,貸借対照表 [表示項目] ,Balance sheet [line items] ,Balance sheet ,貸借対照表 ,cyan
貸出金_down,debit ,貸出金、資産の部、銀行業 ,Loans and bills discounted-assets-BNK ,Loans and bills discounted ,貸出金 ,cyan
貸出金償却_down,debit ,貸出金償却、経常費用、銀行業 ,Written-off of loans-OE-BNK ,Written-off of loans ,貸出金償却 ,cyan
貸出金利息_down,credit ,貸出金利息、経常収益、銀行業 ,Interest on loans and discounts-OI-BNK ,Interest on loans and discounts ,貸出金利息 ,cyan
貸船料_down,credit ,貸船料、海運業収益 ,Ship lease-revenue-shipping ,Ship lease ,貸船料 ,cyan
賃借料_down,debit ,賃借料、営業費用、特定金融業 ,Rent expenses-OE-SPF ,Rent expenses ,賃借料 ,cyan
賃貸不動産_down,debit ,賃貸不動産 ,Real estate for rent ,Real estate for rent ,賃貸不動産 ,cyan
賃貸不動産（純額）_down,debit ,賃貸不動産（純額） ,"Real estate for rent, net ","Real estate for rent, net ",賃貸不動産（純額） ,cyan
賃貸事業原価_down,debit ,賃貸事業原価、営業活動による費用・売上原価 ,Cost of sales in leasing business 2 - COSExpOA ,Cost of sales in leasing business ,賃貸事業原価 ,cyan
賃貸事業収入_down,credit ,賃貸事業収入、営業活動による収益 ,Leasing business revenue - specific - RevOA ,Leasing business revenue ,賃貸事業収入 ,cyan
賃貸事業収益_down,credit ,賃貸事業収益、営業活動による収益 ,Leasing business revenue - RevOA ,Leasing business revenue ,賃貸事業収益 ,cyan
賃貸事業営業費_down,debit ,賃貸事業営業費、営業費、不動産事業、鉄道事業 ,Operating expenses - leasing - OE - real estate - RWY ,Operating expenses - leasing ,賃貸事業営業費 ,cyan
賃貸事業売上原価_down,debit ,賃貸事業売上原価、営業活動による費用・売上原価 ,Cost of sales in leasing business - COSExpOA ,Cost of sales in leasing business ,賃貸事業売上原価 ,cyan
賃貸事業売上高_down,credit ,賃貸事業売上高、営業活動による収益 ,Sales in leasing business - RevOA ,Sales in leasing business ,賃貸事業売上高 ,cyan
賃貸事業費用_down,debit ,賃貸事業費用、営業費用、投資業 ,Expenses related to leasing business - OE - INV ,Expenses related to leasing business ,賃貸事業費用 ,cyan
賃貸借契約解約損_down,debit ,賃貸借契約解約損、特別損失 ,Loss on cancellation of rental contracts-EL ,Loss on cancellation of rental contracts ,賃貸借契約解約損 ,cyan
賃貸原価_down,debit ,賃貸原価、営業活動による費用・売上原価 ,Cost of lease revenue - COSExpOA ,Cost of lease revenue ,賃貸原価 ,cyan
賃貸収入_down,credit ,賃貸収入、営業活動による収益 ,Lease revenue - RevOA ,Lease revenue ,賃貸収入 ,cyan
賃貸収入原価_down,debit ,賃貸収入原価、営業外費用 ,Rental cost - NOE ,Rental cost ,賃貸収入原価 ,cyan
賃貸料収入_down,credit ,賃貸料収入、売上高、リース事業 ,Lease income-sales-LEA ,Lease income ,賃貸料収入 ,cyan
賃貸料等前受金_down,credit ,賃貸料等前受金、流動負債、リース事業 ,Advances received-lease-CL-LEA ,Advances received - lease ,賃貸料等前受金 ,cyan
賃貸料等未収入金_down,debit ,賃貸料等未収入金、流動資産、リース事業 ,Accounts receivable-lease-CA-LEA ,Accounts receivable - lease ,賃貸料等未収入金 ,cyan
賃貸用不動産等減価償却費_down,debit ,賃貸用不動産等減価償却費、経常費用、保険業 ,Depreciation of real estate for rent and other-OE-INS ,Depreciation of real estate for rent and other ,賃貸用不動産等減価償却費 ,cyan
賃貸費用_down,debit ,賃貸費用、営業外費用 ,Rental expenses - NOE ,Rental expenses ,賃貸費用 ,cyan
賃貸資産_down,debit ,賃貸資産、無形固定資産、リース事業 ,Assets for lease-IA-LEA ,Assets for lease ,賃貸資産 ,cyan
賃貸資産前渡金_down,debit ,賃貸資産前渡金、有形固定資産、リース事業 ,Advances for purchases of assets for lease-PPE-LEA ,Advances for purchases of assets for lease ,賃貸資産前渡金 ,cyan
賃金_down,debit ,賃金、販売費及び一般管理費 ,Wages-SGA ,Wages ,賃金 ,cyan
資本剰余金_down,credit ,資本剰余金 ,Capital surplus ,Capital surplus ,資本剰余金 ,cyan
資本準備金_down,credit ,資本準備金 ,Legal capital surplus ,Legal capital surplus ,資本準備金 ,cyan
資本金_down,credit ,資本金 ,Share capital ,Share capital ,資本金 ,cyan
資産保管手数料_down,debit ,資産保管手数料、営業費用、投資業 ,Asset custody fee-OE-INV ,Asset custody fee ,資産保管手数料 ,cyan
資産利用料_down,credit ,資産利用料、営業活動による収益 ,Asset rental income-RevOA ,Asset rental income ,資産利用料 ,cyan
資産圧縮積立金_down,credit ,資産圧縮積立金 ,Reserve for tax purpose reduction entry of assets ,Reserve for tax purpose reduction entry of assets ,資産圧縮積立金 ,cyan
資産維持費_down,debit ,資産維持費、一般管理費、海運業 ,Property maintenance expenses-SGA-WAT ,Property maintenance expenses ,資産維持費 ,cyan
資産運用収益_down,credit ,資産運用収益、経常収益、保険業 ,Investment income-OI-INS ,Investment income ,資産運用収益 ,cyan
資産運用報酬_down,debit ,資産運用報酬、営業費用、投資業 ,Asset management fee-OE-INV ,Asset management fee ,資産運用報酬 ,cyan
資産運用費用_down,debit ,資産運用費用、経常費用、保険業 ,Investment expenses-OE-INS ,Investment expenses ,資産運用費用 ,cyan
資産除去債務_down,credit ,資産除去債務、流動負債 ,Asset retirement obligations-CL ,Asset retirement obligations ,資産除去債務 ,cyan
資産除去債務戻入益_down,credit ,資産除去債務戻入益、特別利益 ,Gain on reversal of asset retirement obligations - EI ,Gain on reversal of asset retirement obligations ,資産除去債務戻入益 ,cyan
資金原価_down,debit ,資金原価、売上原価、リース事業 ,Capital cost-COS-LEA ,Capital cost ,資金原価 ,cyan
資金調達費用_down,debit ,資金調達費用、営業外費用 ,Financing expenses-NOE ,Financing expenses ,資金調達費用 ,cyan
資金運用収益_down,credit ,資金運用収益、経常収益、銀行業 ,Interest income-OI-BNK ,Interest income ,資金運用収益 ,cyan
賞与_down,debit ,賞与、販売費及び一般管理費 ,Bonuses-SGA ,Bonuses ,賞与 ,cyan
賞与及び手当_down,debit ,賞与及び手当、販売費及び一般管理費 ,Bonuses and allowance-SGA ,Bonuses and allowance ,賞与及び手当 ,cyan
賞与引当金_down,credit ,賞与引当金 ,Provision for bonuses ,Provision for bonuses ,賞与引当金 ,cyan
賞与引当金戻入額_down,credit ,賞与引当金戻入額、特別利益 ,Reversal of provision for bonuses-EI ,Reversal of provision for bonuses ,賞与引当金戻入額 ,cyan
賞与引当金繰入額_down,debit ,賞与引当金繰入額、営業費用、特定金融業 ,Provision for bonuses-OE-SPF ,Provision for bonuses ,賞与引当金繰入額 ,cyan
車両_down,debit ,車両、鉄道事業 ,Rolling stock-RWY ,Rolling stock ,車両 ,cyan
車両及び船舶_down,debit ,車両及び船舶、電気通信事業固定資産 ,Vehicle and ships-NCA-telecommunications ,Vehicle and ships ,車両及び船舶 ,cyan
車両及び船舶（純額）_down,debit ,車両及び船舶（純額）、電気通信事業固定資産 ,"Vehicle and ships, net-NCA-telecommunications ","Vehicle and ships, net ",車両及び船舶（純額） ,cyan
車両費_down,debit ,車両費、販売費及び一般管理費 ,Vehicle expenses-SGA ,Vehicle expenses ,車両費 ,cyan
車両運搬具_down,debit ,車両運搬具 ,Vehicles ,Vehicles ,車両運搬具 ,cyan
車両運搬具及び工具器具備品_down,debit ,車両運搬具及び工具器具備品 ,"Vehicles, tools, furniture and fixtures ","Vehicles, tools, furniture and fixtures ",車両運搬具及び工具器具備品 ,cyan
車両運搬具及び工具器具備品（純額）_down,debit ,車両運搬具及び工具器具備品（純額） ,"Vehicles, tools, furniture and fixtures, net ","Vehicles, tools, furniture and fixtures, net ",車両運搬具及び工具器具備品（純額） ,cyan
車両運搬具（純額）_down,debit ,車両運搬具（純額） ,"Vehicles, net ","Vehicles, net ",車両運搬具（純額） ,cyan
車両（純額）_down,debit ,車両（純額）、電気通信事業固定資産 ,"Vehicles, net-NCA-telecommunications ","Vehicles, net ",車両（純額） ,cyan
転換社債_down,credit ,転換社債 ,Convertible bonds ,Convertible bonds ,転換社債 ,cyan
転換社債型新株予約権付社債_down,credit ,転換社債型新株予約権付社債 ,Convertible bond-type bonds with share acquisition rights ,Convertible bond-type bonds with share acquisition rights ,転換社債型新株予約権付社債 ,cyan
返品調整引当金_down,credit ,返品調整引当金 ,Provision for sales returns ,Provision for sales returns ,返品調整引当金 ,cyan
返品調整引当金戻入額_down,credit ,返品調整引当金戻入額、差引売上総利益 ,Reversal of provision for sales returns-GP ,Reversal of provision for sales returns ,返品調整引当金戻入額 ,cyan
返品調整引当金繰入額_down,debit ,返品調整引当金繰入額、差引売上総利益 ,Provision for sales returns-GP ,Provision for sales returns ,返品調整引当金繰入額 ,cyan
退職慰労積立金_down,credit ,退職慰労積立金 ,Reserve for retirement allowance-4 ,Reserve for retirement allowance ,退職慰労積立金 ,cyan
退職手当積立金_down,credit ,退職手当積立金 ,Reserve for retirement allowance-3 ,Reserve for retirement allowance ,退職手当積立金 ,cyan
退職特別加算金_down,debit ,退職特別加算金、特別損失 ,Extra retirement payments 3 - EL ,Extra retirement payments ,退職特別加算金 ,cyan
退職積立金_down,credit ,退職積立金 ,Reserve for retirement allowance-2 ,Reserve for retirement allowance ,退職積立金 ,cyan
退職給与積立金_down,credit ,退職給与積立金 ,Reserve for retirement allowance-1 ,Reserve for retirement allowance ,退職給与積立金 ,cyan
退職給付に係る調整累計額_down,credit ,退職給付に係る調整累計額 ,Remeasurements of defined benefit plans ,Remeasurements of defined benefit plans ,退職給付に係る調整累計額 ,cyan
退職給付に係る負債_down,credit ,退職給付に係る負債 ,Retirement benefit liability ,Retirement benefit liability ,退職給付に係る負債 ,cyan
退職給付に係る資産_down,debit ,退職給付に係る資産 ,Retirement benefit asset ,Retirement benefit asset ,退職給付に係る資産 ,cyan
退職給付会計基準変更時差異の処理額_down,credit ,退職給付会計基準変更時差異の処理額、特別利益 ,Amortization of net retirement benefit obligation at transition-EI ,Amortization of net retirement benefit obligation at transition ,退職給付会計基準変更時差異の処理額 ,cyan
退職給付信託設定損_down,debit ,退職給付信託設定損、特別損失 ,Loss on contribution of securities to retirement benefit trust-EL ,Loss on contribution of securities to retirement benefit trust ,退職給付信託設定損 ,cyan
退職給付信託設定益_down,credit ,退職給付信託設定益、特別利益 ,Gain on contribution of securities to retirement benefit trust-EI ,Gain on contribution of securities to retirement benefit trust ,退職給付信託設定益 ,cyan
退職給付制度改定損_down,debit ,退職給付制度改定損、特別損失 ,Loss on revision of retirement benefit plan-EL ,Loss on revision of retirement benefit plan ,退職給付制度改定損 ,cyan
退職給付制度改定益_down,credit ,退職給付制度改定益、特別利益 ,Gain on revision of retirement benefit plan-EI ,Gain on revision of retirement benefit plan ,退職給付制度改定益 ,cyan
退職給付制度終了損_down,debit ,退職給付制度終了損、特別損失 ,Loss on termination of retirement benefit plan - EL ,Loss on termination of retirement benefit plan ,退職給付制度終了損 ,cyan
退職給付制度終了益_down,credit ,退職給付制度終了益、特別利益 ,Gain on termination of retirement benefit plan - EI ,Gain on termination of retirement benefit plan ,退職給付制度終了益 ,cyan
退職給付引当金_down,credit ,退職給付引当金 ,Provision for retirement benefits ,Provision for retirement benefits ,退職給付引当金 ,cyan
退職給付引当金戻入額_down,credit ,退職給付引当金戻入額、特別利益 ,Reversal of provision for retirement benefits-EI ,Reversal of provision for retirement benefits ,退職給付引当金戻入額 ,cyan
退職給付引当金繰入額_down,debit ,退職給付引当金繰入額、特別損失 ,Provision for retirement benefits-EL ,Provision for retirement benefits ,退職給付引当金繰入額 ,cyan
退職給付積立不足償却額_down,debit ,退職給付積立不足償却額、営業外費用 ,Amortization of shortage reserve for retirement benefits-NOE ,Amortization of shortage reserve for retirement benefits ,退職給付積立不足償却額 ,cyan
退職給付費用_down,debit ,退職給付費用、特別損失 ,Retirement benefit expenses-EL ,Retirement benefit expenses ,退職給付費用 ,cyan
退職金_down,debit ,退職金、販売費及び一般管理費 ,Retirement payments-SGA ,Retirement payments ,退職金 ,cyan
送電設備_down,debit ,送電設備、電気事業固定資産、電気事業 ,Transmission facilities-NCA-electric-ELE ,Transmission facilities ,送電設備 ,cyan
送電費_down,debit ,送電費、電気事業営業費用、電気事業 ,Transmission expenses-OE-electric-ELE ,Transmission expenses ,送電費 ,cyan
通信交通費_down,debit ,通信交通費、販売費及び一般管理費 ,Communication and transportation expenses - SGA ,Communication and transportation expenses ,通信交通費 ,cyan
通信衛星設備_down,debit ,通信衛星設備、電気通信事業固定資産 ,Communication satellite facilities-NCA-telecommunications ,Communication satellite facilities ,通信衛星設備 ,cyan
通信衛星設備（純額）_down,debit ,通信衛星設備（純額）、電気通信事業固定資産 ,"Communication satellite facilities, net-NCA-telecommunications ","Communication satellite facilities, net ",通信衛星設備（純額） ,cyan
通信設備使用料_down,debit ,通信設備使用料、営業費用、電気通信事業営業損益 ,Communication facility fee-OE-OIL-telecommunications ,Communication facility fee ,通信設備使用料 ,cyan
通信費_down,debit ,通信費、電気事業営業費用、電気事業 ,Communication expenses - OE - electric - ELE ,Communication expenses ,通信費 ,cyan
通知預金_down,credit ,通知預金、預金、負債の部、銀行業 ,Deposits at notice-deposits-liabilities-BNK ,Deposits at notice ,通知預金 ,cyan
通貨オプション_down,debit ,通貨オプション、流動資産 ,Currency options-CA ,Currency options ,通貨オプション ,cyan
遊園事業収入_down,credit ,遊園事業収入、営業収益、付帯事業、鉄道事業 ,Revenue - play garden - OR - incidental businesses - RWY ,Revenue - play garden ,遊園事業収入 ,cyan
運搬費_down,debit ,運搬費、販売費及び一般管理費 ,Transportation costs - SGA ,Transportation costs ,運搬費 ,cyan
運用受託報酬_down,credit ,運用受託報酬、営業収益、投資運用業 ,Management fee-OR-IVT ,Management fee ,運用受託報酬 ,cyan
運用費_down,debit ,運用費、営業費用、電気通信事業営業損益 ,Operating expenses-OE-OIL-telecommunications ,Operating expenses ,運用費 ,cyan
運航費_down,debit ,運航費、海運業費用 ,Navigation expenses-expenses-shipping ,Navigation expenses ,運航費 ,cyan
運賃_down,credit ,運賃、海運業収益 ,Freight and other-revenue-shipping ,Freight and other ,運賃 ,cyan
運賃及び荷造費_down,debit ,運賃及び荷造費、販売費及び一般管理費 ,Freight and packing costs - SGA ,Freight and packing costs ,運賃及び荷造費 ,cyan
運賃諸掛_down,debit ,運賃諸掛、販売費及び一般管理費 ,Freight and incidental costs - SGA ,Freight and incidental costs ,運賃諸掛 ,cyan
運輸営業費_down,debit ,運輸営業費、営業費、鉄道事業 ,Operating expenses-transportation-OE-RWY ,Operating expenses - transportation ,運輸営業費 ,cyan
運輸業等営業費及び売上原価_down,debit ,運輸業等営業費及び売上原価、鉄道事業 ,Operating expenses and cost of sales of transportation-RWY ,Operating expenses and cost of sales of transportation ,運輸業等営業費及び売上原価 ,cyan
運輸雑収_down,credit ,運輸雑収、営業収益、鉄道事業 ,Miscellaneous income of transportation-OR-RWY ,Miscellaneous income of transportation ,運輸雑収 ,cyan
運送収入_down,credit ,運送収入、営業活動による収益 ,Transportation income-RevOA ,Transportation income ,運送収入 ,cyan
運送営業費_down,debit ,運送営業費、営業費、自動車事業、鉄道事業 ,Transportation operating expenses-OE-automobile-RWY ,Transportation operating expenses ,運送営業費 ,cyan
運送費_down,debit ,運送費、営業費、鉄道事業 ,Transportation costs - OE - RWY ,Transportation costs ,運送費 ,cyan
運送費及び保管費_down,debit ,運送費及び保管費、販売費及び一般管理費 ,Transportation and storage costs - SGA ,Transportation and storage costs ,運送費及び保管費 ,cyan
運送雑収_down,credit ,運送雑収、営業活動による収益 ,Miscellaneous transportation income-RevOA ,Miscellaneous transportation income ,運送雑収 ,cyan
過年度法人税等_down,debit ,過年度法人税等、法人税等 ,Income taxes for prior periods-income taxes ,Income taxes for prior periods ,過年度法人税等 ,cyan
